Postcode,Number of polluting facilities,Total emissions in the air (kg),Level of pollution
2658,0,0,No polluting facilities
2659,0,0,No polluting facilities
2660,2,217999.8622,Medium
2661,0,0,No polluting facilities
2663,0,0,No polluting facilities
2665,0,0,No polluting facilities
2666,1,201169.1198,Medium
2668,0,0,No polluting facilities
2669,1,30747.6,Medium
2671,1,2268991.455,High
2672,0,0,No polluting facilities
2675,0,0,No polluting facilities
2678,0,0,No polluting facilities
2680,5,45038.06785,Medium
2681,1,14631.1015,Medium
2700,0,0,No polluting facilities
2701,0,0,No polluting facilities
2702,0,0,No polluting facilities
2703,1,224700.6047,Medium
2705,2,9315.609223,Low
2706,0,0,No polluting facilities
2707,0,0,No polluting facilities
2710,0,0,No polluting facilities
2711,0,0,No polluting facilities
2712,0,0,No polluting facilities
2713,0,0,No polluting facilities
2714,0,0,No polluting facilities
2715,0,0,No polluting facilities
2716,0,0,No polluting facilities
2717,0,0,No polluting facilities
2720,3,683602.1256,High
2721,0,0,No polluting facilities
2722,0,0,No polluting facilities
2725,0,0,No polluting facilities
2726,0,0,No polluting facilities
2727,0,0,No polluting facilities
2729,0,0,No polluting facilities
2730,0,0,No polluting facilities
2731,0,0,No polluting facilities
2732,0,0,No polluting facilities
2733,0,0,No polluting facilities
2734,0,0,No polluting facilities
2735,0,0,No polluting facilities
2736,0,0,No polluting facilities
2737,0,0,No polluting facilities
2738,0,0,No polluting facilities
2739,1,4217.2,Low
2745,0,0,No polluting facilities
2747,0,0,No polluting facilities
2748,0,0,No polluting facilities
2749,1,995292.21,High
2750,3,27499.73955,Medium
2752,0,0,No polluting facilities
2753,0,0,No polluting facilities
2754,0,0,No polluting facilities
2755,0,0,No polluting facilities
2756,1,12312.62943,Medium
2757,0,0,No polluting facilities
2758,0,0,No polluting facilities
2759,4,52121.35397,Medium
2760,1,681.229156,Low
2761,1,3362.13,Low
2762,1,1087,Low
2763,0,0,No polluting facilities
2765,2,33238.49731,Medium
2766,7,183192.5857,Medium
2767,1,72541.444,Medium
2768,0,0,No polluting facilities
2769,0,0,No polluting facilities
2770,0,0,No polluting facilities
2773,0,0,No polluting facilities
2774,0,0,No polluting facilities
2775,0,0,No polluting facilities
2776,0,0,No polluting facilities
2777,0,0,No polluting facilities
2778,0,0,No polluting facilities
2779,0,0,No polluting facilities
2780,0,0,No polluting facilities
2782,0,0,No polluting facilities
2783,0,0,No polluting facilities
2784,0,0,No polluting facilities
2785,0,0,No polluting facilities
2786,0,0,No polluting facilities
2787,4,508952.4921,High
2790,4,274096.3796,Medium
2791,0,0,No polluting facilities
2792,0,0,No polluting facilities
2793,0,0,No polluting facilities
2794,0,0,No polluting facilities
2795,5,22919.13216,Medium
2797,0,0,No polluting facilities
2798,0,0,No polluting facilities
2799,1,7952.205534,Low
2800,4,4410521.827,High
2803,0,0,No polluting facilities
2804,0,0,No polluting facilities
2805,0,0,No polluting facilities
2806,0,0,No polluting facilities
2807,0,0,No polluting facilities
2808,0,0,No polluting facilities
2809,0,0,No polluting facilities
2810,0,0,No polluting facilities
2817,0,0,No polluting facilities
2818,0,0,No polluting facilities
2820,0,0,No polluting facilities
2821,0,0,No polluting facilities
2822,0,0,No polluting facilities
2823,0,0,No polluting facilities
2824,0,0,No polluting facilities
2825,0,0,No polluting facilities
2826,0,0,No polluting facilities
2827,0,0,No polluting facilities
2828,0,0,No polluting facilities
2829,0,0,No polluting facilities
2830,3,133365.9876,Medium
2831,4,1165647.005,High
2832,1,342630.1735,Medium
2833,0,0,No polluting facilities
2834,0,0,No polluting facilities
2835,4,1087109.293,High
2836,0,0,No polluting facilities
2838,0,0,No polluting facilities
2839,0,0,No polluting facilities
2840,0,0,No polluting facilities
2842,0,0,No polluting facilities
2843,0,0,No polluting facilities
2844,0,0,No polluting facilities
2845,1,0.001166531,Low
2846,1,5.58178e-4,Low
2847,1,54233444,High
2848,0,0,No polluting facilities
2849,0,0,No polluting facilities
2850,3,10234044.45,High
2852,1,43562.39373,Medium
2864,0,0,No polluting facilities
2865,0,0,No polluting facilities
2866,1,15687.8,Medium
2867,0,0,No polluting facilities
2868,0,0,No polluting facilities
2869,1,1066347.461,High
2870,1,1009377.452,High
2871,1,36.77950959,Low
2873,0,0,No polluting facilities
2874,0,0,No polluting facilities
2875,0,0,No polluting facilities
2876,0,0,No polluting facilities
2877,0,0,No polluting facilities
2878,0,0,No polluting facilities
2879,0,0,No polluting facilities
2880,3,1002427.988,High
2898,0,0,No polluting facilities
2899,0,0,No polluting facilities
2900,0,0,No polluting facilities
2902,0,0,No polluting facilities
2903,0,0,No polluting facilities
2904,0,0,No polluting facilities
2905,0,0,No polluting facilities
2906,0,0,No polluting facilities
2911,1,3014.64939,Low
2912,0,0,No polluting facilities
2913,0,0,No polluting facilities
2914,0,0,No polluting facilities
3000,0,0,No polluting facilities
3002,2,1819.03,Low
3003,3,202360.6528,Medium
3004,1,15658.6541,Medium
3005,0,0,No polluting facilities
3006,0,0,No polluting facilities
3008,0,0,No polluting facilities
3010,0,0,No polluting facilities
3011,2,4453.360682,Low
3012,10,185677.4581,Medium
3013,3,105078.1521,Medium
3015,2,935000.1364,High
3016,0,0,No polluting facilities
3018,5,4373467.849,High
3019,1,11270.38477,Medium
3020,3,22485.6092,Medium
3021,1,2753.981258,Low
3022,0,0,No polluting facilities
3023,2,3731.40072,Low
3024,2,122692.53,Medium
3025,2,31192.11156,Medium
3026,15,387522.3032,Medium
3027,0,0,No polluting facilities
3028,1,4580.602781,Low
3029,4,935189.3292,High
3030,4,361768.1466,Medium
3031,1,867.1309981,Low
3032,1,2293.366288,Low
3033,0,0,No polluting facilities
3034,0,0,No polluting facilities
3036,0,0,No polluting facilities
3037,0,0,No polluting facilities
3038,0,0,No polluting facilities
3039,0,0,No polluting facilities
3040,0,0,No polluting facilities
3041,0,0,No polluting facilities
3042,0,0,No polluting facilities
3043,1,9368.565648,Low
3044,0,0,No polluting facilities
3045,2,532782.6382,High
3046,0,0,No polluting facilities
3047,1,10456.63653,Medium
3048,0,0,No polluting facilities
3049,0,0,No polluting facilities
3050,0,0,No polluting facilities
3051,1,3628.0835,Low
3052,4,45302.05229,Medium
3053,1,15780.63988,Medium
3054,0,0,No polluting facilities
3055,0,0,No polluting facilities
3056,0,0,No polluting facilities
3057,0,0,No polluting facilities
3058,2,10964.88955,Medium
3059,0,0,No polluting facilities
3060,2,3761.097525,Low
3061,11,292281.0286,Medium
3062,4,41505.08718,Medium
3063,1,358778.0021,Medium
3064,3,37371.0673,Medium
3065,1,15626.848,Medium
3066,0,0,No polluting facilities
3067,2,51379.52279,Medium
3068,0,0,No polluting facilities
3070,1,725.4373044,Low
3071,0,0,No polluting facilities
3072,3,14589.44114,Medium
3073,1,35160.30934,Medium
3074,4,282036.0964,Medium
3075,0,0,No polluting facilities
3076,3,256745.096,Medium
3078,0,0,No polluting facilities
3079,0,0,No polluting facilities
3081,1,3137.130067,Low
3082,0,0,No polluting facilities
3083,1,34363.92979,Medium
3084,1,6077.76723,Low
3085,0,0,No polluting facilities
3086,0,0,No polluting facilities
3087,0,0,No polluting facilities
3088,0,0,No polluting facilities
3089,0,0,No polluting facilities
3090,0,0,No polluting facilities
3091,0,0,No polluting facilities
3093,0,0,No polluting facilities
3094,0,0,No polluting facilities
3095,0,0,No polluting facilities
3096,0,0,No polluting facilities
3097,0,0,No polluting facilities
3099,0,0,No polluting facilities
3101,0,0,No polluting facilities
3102,0,0,No polluting facilities
3103,0,0,No polluting facilities
3104,0,0,No polluting facilities
3105,0,0,No polluting facilities
3106,0,0,No polluting facilities
3107,0,0,No polluting facilities
3108,0,0,No polluting facilities
3109,0,0,No polluting facilities
3111,0,0,No polluting facilities
3113,0,0,No polluting facilities
3114,0,0,No polluting facilities
3115,0,0,No polluting facilities
3116,0,0,No polluting facilities
3121,2,14378.1,Medium
3122,0,0,No polluting facilities
3123,0,0,No polluting facilities
3124,0,0,No polluting facilities
3125,0,0,No polluting facilities
3126,0,0,No polluting facilities
3127,0,0,No polluting facilities
3128,3,62058.54696,Medium
3129,0,0,No polluting facilities
3130,0,0,No polluting facilities
3131,0,0,No polluting facilities
3132,1,3140.09,Low
3133,1,16127.49537,Medium
3134,1,5056,Low
3135,1,1278.521117,Low
3136,1,1347.67689,Low
3137,0,0,No polluting facilities
3138,0,0,No polluting facilities
3139,0,0,No polluting facilities
3140,2,107730.5659,Medium
3141,0,0,No polluting facilities
3142,0,0,No polluting facilities
3143,0,0,No polluting facilities
3144,1,4981.403247,Low
3145,1,2071.408392,Low
3146,0,0,No polluting facilities
3147,0,0,No polluting facilities
3148,0,0,No polluting facilities
3149,0,0,No polluting facilities
3150,0,0,No polluting facilities
3151,0,0,No polluting facilities
3152,2,322734.408,Medium
3153,5,15923.06924,Medium
3154,0,0,No polluting facilities
3155,1,3611.4216,Low
3156,3,1011778.091,High
3158,0,0,No polluting facilities
3159,0,0,No polluting facilities
3160,0,0,No polluting facilities
3161,0,0,No polluting facilities
3162,1,1971.074899,Low
3163,0,0,No polluting facilities
3165,1,903.3789422,Low
3166,2,4013.0479,Low
3167,0,0,No polluting facilities
3168,7,50539.11134,Medium
3169,5,349162.3314,Medium
3170,4,9155.119342,Low
3171,3,39040.0387,Medium
3172,0,0,No polluting facilities
3173,1,4139.38,Low
3174,1,4761.1,Low
3175,23,1852143.381,High
3177,0,0,No polluting facilities
3178,1,5519.893725,Low
3179,2,19087.6,Medium
3180,0,0,No polluting facilities
3181,1,1329.693275,Low
3182,0,0,No polluting facilities
3183,0,0,No polluting facilities
3184,0,0,No polluting facilities
3185,0,0,No polluting facilities
3186,0,0,No polluting facilities
3187,0,0,No polluting facilities
3188,0,0,No polluting facilities
3189,3,7033.367609,Low
3190,0,0,No polluting facilities
3191,0,0,No polluting facilities
3192,2,16392.50654,Medium
3193,0,0,No polluting facilities
3194,0,0,No polluting facilities
3195,3,6884.047324,Low
3196,1,2060.735644,Low
3197,0,0,No polluting facilities
3198,0,0,No polluting facilities
3199,1,3517.149362,Low
3200,0,0,No polluting facilities
3201,1,2391.26,Low
3202,0,0,No polluting facilities
3204,0,0,No polluting facilities
3205,0,0,No polluting facilities
3206,0,0,No polluting facilities
3207,6,283870.806,Medium
3211,0,0,No polluting facilities
3212,4,100278.2528,Medium
3213,0,0,No polluting facilities
3214,8,2548745.249,High
3215,5,592809.0955,High
3216,1,53766.28,Medium
3217,0,0,No polluting facilities
3218,0,0,No polluting facilities
3219,2,10498.60527,Medium
3220,4,25510.24639,Medium
3221,2,6620.95412,Low
3222,1,2515.118012,Low
3223,0,0,No polluting facilities
3224,0,0,No polluting facilities
3225,0,0,No polluting facilities
3226,0,0,No polluting facilities
3227,1,15102.94765,Medium
3228,0,0,No polluting facilities
3230,1,0.01,Low
3231,0,0,No polluting facilities
3232,0,0,No polluting facilities
3233,0,0,No polluting facilities
3234,0,0,No polluting facilities
3235,0,0,No polluting facilities
3236,0,0,No polluting facilities
3237,0,0,No polluting facilities
3238,0,0,No polluting facilities
3239,0,0,No polluting facilities
3240,1,70001.189,Medium
3241,0,0,No polluting facilities
3242,0,0,No polluting facilities
3243,0,0,No polluting facilities
3249,1,54181.183,Medium
3250,3,17996.10658,Medium
3251,0,0,No polluting facilities
3254,0,0,No polluting facilities
3260,0,0,No polluting facilities
3264,1,18439.04,Medium
3265,0,0,No polluting facilities
3266,2,37728.55076,Medium
3267,0,0,No polluting facilities
3268,0,0,No polluting facilities
3269,4,1107601.712,High
3270,0,0,No polluting facilities
3271,0,0,No polluting facilities
3272,2,573765.4652,High
3273,0,0,No polluting facilities
3274,0,0,No polluting facilities
3275,0,0,No polluting facilities
3276,0,0,No polluting facilities
3277,2,63265.25776,Medium
3278,0,0,No polluting facilities
3279,0,0,No polluting facilities
3280,4,2032226.679,High
3281,0,0,No polluting facilities
3282,2,96383.606,Medium
3283,0,0,No polluting facilities
3284,1,1500.58,Low
3285,0,0,No polluting facilities
3286,0,0,No polluting facilities
3287,0,0,No polluting facilities
3289,0,0,No polluting facilities
3292,0,0,No polluting facilities
3293,0,0,No polluting facilities
3294,0,0,No polluting facilities
3300,3,93485.41954,Medium
3301,0,0,No polluting facilities
3302,1,16518.30577,Medium
3303,1,24467.56,Medium
3304,0,0,No polluting facilities
3305,5,5055920.786,High
3309,0,0,No polluting facilities
3310,0,0,No polluting facilities
3311,0,0,No polluting facilities
3312,0,0,No polluting facilities
3314,0,0,No polluting facilities
3315,0,0,No polluting facilities
3317,0,0,No polluting facilities
